Residential,R2Score,Time
1,0.8900954249964168,0 days 00:04:23.907695
2,0.8894300490284126,0 days 00:06:11.749265
3,0.8173189588375798,0 days 00:02:28.042236
4,0.9154835352853624,0 days 00:02:11.674157
1,0.8881700305358713,0 days 00:04:42.277165
2,0.8900394406216824,0 days 00:02:48.028709
3,0.8304046411867573,0 days 00:03:23.345196
4,0.9176247472921626,0 days 00:03:21.708952
5,0.8990054683664976,0 days 00:04:25.235623
6,0.9279727401343844,0 days 00:03:20.177306
7,0.8948286364946025,0 days 00:03:41.085539
8,0.908527083722082,0 days 00:03:32.171030
9,0.910393442666813,0 days 00:02:57.903031
10,0.8938839545987791,0 days 00:08:01.905045
11,0.9357988938432572,0 days 00:06:38.294005
12,0.9055543511930608,0 days 00:02:23.051759
13,0.9208715744457798,0 days 00:05:13.699688
14,0.9340605140901488,0 days 00:06:04.584408
15,0.940385879900675,0 days 00:02:58.243546
16,0.9275267350221724,0 days 00:04:02.891490
17,0.8943078824751783,0 days 00:00:41.333045
18,0.9085107282755662,0 days 00:02:10.359217
19,0.950851791905431,0 days 00:01:57.151490
20,0.9304597940965732,0 days 00:03:43.394320
21,0.9184997957735194,0 days 00:01:53.987148
22,0.8942873728474198,0 days 00:05:38.361273
23,0.927112915079315,0 days 00:02:14.749639
24,0.8626632022119293,0 days 00:02:30.176717
25,0.8909845257378624,0 days 00:03:33.631214
26,0.8129648086901023,0 days 00:01:11.395412
27,0.9451062039325544,0 days 00:02:51.851420
28,0.9565866627595128,0 days 00:05:34.330071
1,0.869502934612387,0 days 00:01:04.431633
2,0.8912559042755934,0 days 00:02:01.332802
3,0.820793499551664,0 days 00:00:51.769461
4,0.914802692453069,0 days 00:00:50.992049
5,0.8991945635109855,0 days 00:01:31.846613
6,0.9229296873829272,0 days 00:00:58.543945
7,0.9055502091093492,0 days 00:01:05.600819
8,0.9107454382881546,0 days 00:02:10.831990
9,0.927209151156006,0 days 00:03:47.084424
10,0.8929641737865119,0 days 00:00:50.441437
11,0.9391524114030948,0 days 00:03:24.232064
12,0.9332648359500608,0 days 00:01:20.929340
13,0.9219985384137638,0 days 00:02:32.028652
14,0.9293807491238536,0 days 00:01:17.893344
15,0.9544329760126634,0 days 00:01:38.858086
16,0.9122013028326124,0 days 00:00:31.752284
17,0.9106457612342098,0 days 00:00:28.377004
18,0.9211466004051102,0 days 00:00:44.937781
19,0.9539674835948426,0 days 00:00:51.992327
20,0.9113686655020174,0 days 00:00:45.688536
21,0.9026790343142412,0 days 00:00:19.782610
22,0.8850935522165836,0 days 00:02:58.035825
23,-1.3226786016415213,0 days 00:00:35.951612
24,0.8495084785192638,0 days 00:01:04.234335
25,0.8769790733271138,0 days 00:00:57.231768
26,0.8897795133717784,0 days 00:00:52.183998
27,0.9665065661966612,0 days 00:01:13.763750
28,0.948583499463476,0 days 00:01:03.002473
1,0.879598253473562,0 days 00:03:08.406243
2,0.8869234128376051,0 days 00:03:26.081626
3,0.8413077252780126,0 days 00:02:45.073788
4,0.8664572418756887,0 days 00:00:29.014134
5,0.8920369981048089,0 days 00:02:53.483974
6,0.9271836862295824,0 days 00:02:51.298724
7,0.8820242132383842,0 days 00:02:43.168555
8,0.8957996925708489,0 days 00:02:59.213831
9,0.930079394490984,0 days 00:02:57.198872
10,0.8857557075942072,0 days 00:02:56.838808
11,0.9237573494175496,0 days 00:02:46.995857
12,0.9385203998957912,0 days 00:02:36.727931
13,0.9182026665219912,0 days 00:02:51.955014
14,0.8948517716313293,0 days 00:03:00.176406
15,0.9637098673631428,0 days 00:02:25.436740
16,0.8965073446068049,0 days 00:01:13.160828
17,0.9177183316180404,0 days 00:00:21.223123
18,0.8958823289323695,0 days 00:01:59.092484
19,0.9575757167182664,0 days 00:03:00.860388
20,-3.872881542253523,0 days 00:00:28.439174
21,0.9022602435069108,0 days 00:00:24.759734
22,0.8871748765117143,0 days 00:01:04.199672
23,0.9170698950452848,0 days 00:00:32.266917
24,0.8667015199784802,0 days 00:03:08.548494
25,0.8950201523327925,0 days 00:03:00.501403
26,0.8820340081808042,0 days 00:00:43.782183
27,0.9555619747615752,0 days 00:01:29.057734
28,0.9386405492073187,0 days 00:00:31.538394
