date,Clear,Cloudy,Drizzle,Fog,Freezing Fog,Heavy Rain,Heavy Snow,Mainly Clear,Moderate Rain,Moderate Rain Showers,Moderate Snow,Mostly Cloudy,Rain,Rain Showers,Snow,Snow Grains,Thunderstorms,temperature,pressure,humidity,dc_output,ac_output,energy_kWh
2017-11-01 00:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0,100.81,92.0,0.0,0.0,0.11
2017-11-01 01:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.7,100.75,93.0,0.0,0.0,0.1
2017-11-01 02:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.2,100.69,97.0,0.0,0.0,0.11
2017-11-01 03:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.1,100.71,96.0,0.0,0.0,0.1
2017-11-01 04:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.0,100.67,84.0,0.0,0.0,0.12
2017-11-01 05:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.2,100.56,84.0,0.0,0.0,0.1
2017-11-01 06:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.3,100.6,87.0,0.0,0.0,0.1
2017-11-01 07:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.7,100.62,83.0,35.678,12.768,0.27
2017-11-01 08:00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.0,100.63,89.0,97.258,73.206,0.36
2017-11-01 09:00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.2,100.67,93.0,179.528,153.899,0.1
2017-11-01 10:00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.7,100.72,83.0,214.272,187.96,0.11
2017-11-01 11:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.9,100.76,77.0,226.46,199.906,0.09
2017-11-01 12:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.0,100.81,77.0,224.266,197.756,0.1
2017-11-01 13:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.5,100.81,77.0,198.634,172.631,0.1
2017-11-01 14:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.4,100.82,78.0,153.025,127.911,0.09
2017-11-01 15:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.5,100.79,79.0,219.541,193.125,0.13
2017-11-01 16:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.5,100.79,81.0,18.985,0.0,0.09
2017-11-01 17:00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.3,100.77,77.0,0.0,0.0,0.13
2017-11-01 18:00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.0,100.76,76.0,0.0,0.0,0.16
