date,Clear,Cloudy,Drizzle,Fog,Freezing Fog,Freezing Rain,Haze,Heavy Rain,Heavy Rain Showers,Heavy Snow,Mainly Clear,Moderate Rain,Moderate Rain Showers,Moderate Snow,Mostly Cloudy,Rain,Rain Showers,Smoke,Snow,Snow Grains,Snow Showers,Thunderstorms,temperature,pressure,humidity,dc_output,ac_output,energy_kWh
2017-05-15 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0,101.45,84.0,0.0,0.0,1.88
2017-05-15 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0,101.45,86.0,0.0,0.0,1.14
2017-05-15 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.2,101.43,89.0,0.0,0.0,1.22
2017-05-15 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.3,101.42,86.0,0.0,0.0,1.06
2017-05-15 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.7,101.41,89.0,0.0,0.0,0.97
2017-05-15 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.7,101.39,89.0,130.865,106.176,1.02
2017-05-15 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.2,101.38,87.0,473.128,441.403,1.07
2017-05-15 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.1,101.36,79.0,1141.847,1093.493,1.06
2017-05-15 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.3,101.37,84.0,1980.412,1905.823,1.01
2017-05-15 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.3,101.35,70.0,2570.91,2474.25,1.21
2017-05-15 10:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.7,101.35,78.0,3118.658,2998.87,0.6
2017-05-15 11:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.2,101.35,88.0,1693.057,1628.133,0.42
2017-05-15 12:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.1,101.32,82.0,1770.129,1702.681,0.55
2017-05-15 13:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.6,101.29,73.0,782.219,743.281,3.3
2017-05-15 14:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.6,101.24,80.0,1801.686,1733.191,0.4
2017-05-15 15:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.2,101.18,79.0,566.411,532.595,1.87
2017-05-15 16:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.6,101.13,86.0,740.744,702.821,0.99
2017-05-15 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.9,101.09,88.0,451.398,420.149,3.81
2017-05-15 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.7,101.0,94.0,279.198,251.582,2.38
2017-05-15 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.6,100.91,94.0,8.075,0.0,2.43
2017-05-15 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.5,100.81,93.0,0.0,0.0,1.4
2017-05-15 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.3,100.69,95.0,0.0,0.0,1.88
2017-05-15 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.8,100.61,95.0,0.0,0.0,2.24
2017-05-15 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.6,100.49,94.0,0.0,0.0,2.26
2017-05-16 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.3,100.4,93.0,0.0,0.0,0.98
2017-05-16 01:00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.1,100.3,93.0,0.0,0.0,1.03
2017-05-16 02:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,100.2,92.0,0.0,0.0,0.99
2017-05-16 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.4,100.1,91.0,0.0,0.0,0.91
2017-05-16 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.1,100.05,92.0,0.0,0.0,0.94
2017-05-16 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.1,100.01,93.0,114.659,90.278,1.02
2017-05-16 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.5,99.98,93.0,433.824,402.958,1.24
2017-05-16 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.9,100.01,92.0,1197.649,1147.736,3.29
2017-05-16 08:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,100.1,91.0,2022.488,1946.425,2.62
2017-05-16 09:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,100.16,87.0,2127.461,2047.653,2.86
2017-05-16 10:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,100.25,85.0,3107.168,2987.892,1.84
2017-05-16 11:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,100.34,77.0,3352.207,3221.78,2.09
2017-05-16 12:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,100.4,75.0,3155.171,3033.751,2.34
2017-05-16 13:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,100.46,78.0,3082.326,2964.152,1.31
2017-05-16 14:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.0,100.51,77.0,2424.271,2333.369,0.27
