date,temperature,pressure,humidity,dc_output,ac_output,weather,energy_kWh
2018-08-01 00:00:00,19.0,101.37,72.0,0.0,0.0,Clear,0.92
2018-08-01 01:00:00,18.5,101.4,75.0,0.0,0.0,Clear,0.91
2018-08-01 02:00:00,17.9,101.41,78.0,0.0,0.0,Clear,0.85
2018-08-01 03:00:00,17.3,101.44,80.0,0.0,0.0,Clear,0.81
2018-08-01 04:00:00,16.0,101.47,85.0,0.0,0.0,Clear,0.93
2018-08-01 05:00:00,16.1,101.5,84.0,21.067,0.0,Clear,0.79
2018-08-01 06:00:00,15.5,101.53,86.0,136.518,111.721,Clear,0.8
2018-08-01 07:00:00,15.7,101.59,84.0,431.82,400.996,Clear,1.75
2018-08-01 08:00:00,16.1,101.63,83.0,395.539,365.496,Mostly Cloudy,2.07
2018-08-01 09:00:00,16.6,101.67,80.0,574.763,540.756,Mostly Cloudy,1.74
2018-08-01 10:00:00,17.3,101.66,76.0,725.281,687.733,Mostly Cloudy,1.83
2018-08-01 11:00:00,18.1,101.67,73.0,1277.807,1225.607,Cloudy,1.73
2018-08-01 12:00:00,18.0,101.66,74.0,2105.142,2026.139,Cloudy,1.92
2018-08-01 13:00:00,18.9,101.63,69.0,2495.257,2401.591,Cloudy,1.85
2018-08-01 14:00:00,20.7,101.58,63.0,2030.354,1954.013,Mostly Cloudy,1.54
2018-08-01 15:00:00,21.4,101.55,60.0,1494.896,1436.228,Mostly Cloudy,0.56
2018-08-01 16:00:00,22.1,101.5,58.0,1387.545,1332.125,Mostly Cloudy,0.63
2018-08-01 17:00:00,21.6,101.45,60.0,670.526,634.289,Clear,0.58
2018-08-01 18:00:00,21.4,101.4,61.0,245.763,218.823,Clear,0.66
2018-08-01 19:00:00,20.3,101.36,64.0,11.224,0.0,Clear,0.62
2018-08-01 20:00:00,19.4,101.33,68.0,0.0,0.0,Clear,0.7
2018-08-01 21:00:00,17.8,101.34,75.0,0.0,0.0,Clear,1.93
2018-08-01 22:00:00,17.2,101.35,78.0,0.0,0.0,Clear,1.44
2018-08-01 23:00:00,17.1,101.36,77.0,0.0,0.0,Clear,0.86
2018-08-02 00:00:00,17.1,101.36,77.0,0.0,0.0,Clear,0.96
2018-08-02 01:00:00,16.4,101.39,79.0,0.0,0.0,Clear,1.0
2018-08-02 02:00:00,15.7,101.39,83.0,0.0,0.0,Clear,1.14
2018-08-02 03:00:00,14.8,101.42,87.0,0.0,0.0,Clear,1.3
2018-08-02 04:00:00,14.6,101.43,87.0,0.0,0.0,Clear,1.39
2018-08-02 05:00:00,13.8,101.43,90.0,66.22,42.747,Mainly Clear,1.67
2018-08-02 06:00:00,13.9,101.46,89.0,291.35,263.486,Mainly Clear,1.84
