date,Clear,Cloudy,Drizzle,Fog,Freezing Fog,Freezing Rain,Haze,Heavy Rain,Heavy Snow,Mainly Clear,Moderate Rain,Moderate Rain Showers,Moderate Snow,Mostly Cloudy,Rain,Rain Showers,Smoke,Snow,Snow Showers,temperature,pressure,humidity,dc_output,ac_output,energy_kWh
2018-08-01 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,101.37,72.0,0.0,0.0,0.92
2018-08-01 01:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,101.4,75.0,0.0,0.0,0.91
2018-08-01 02:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9,101.41,78.0,0.0,0.0,0.85
2018-08-01 03:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,101.44,80.0,0.0,0.0,0.81
2018-08-01 04:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,101.47,85.0,0.0,0.0,0.93
2018-08-01 05:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1,101.5,84.0,21.067,0.0,0.79
2018-08-01 06:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,101.53,86.0,136.518,111.721,0.8
2018-08-01 07:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,101.59,84.0,431.82,400.996,1.75
2018-08-01 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.1,101.63,83.0,395.539,365.496,2.07
2018-08-01 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.6,101.67,80.0,574.763,540.756,1.74
2018-08-01 10:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17.3,101.66,76.0,725.281,687.733,1.83
2018-08-01 11:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1,101.67,73.0,1277.807,1225.607,1.73
2018-08-01 12:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,101.66,74.0,2105.142,2026.139,1.92
2018-08-01 13:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9,101.63,69.0,2495.257,2401.591,1.85
2018-08-01 14:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20.7,101.58,63.0,2030.354,1954.013,1.54
2018-08-01 15:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21.4,101.55,60.0,1494.896,1436.228,0.56
2018-08-01 16:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.1,101.5,58.0,1387.545,1332.125,0.63
2018-08-01 17:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6,101.45,60.0,670.526,634.289,0.58
2018-08-01 18:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,101.4,61.0,245.763,218.823,0.66
2018-08-01 19:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3,101.36,64.0,11.224,0.0,0.62
2018-08-01 20:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4,101.33,68.0,0.0,0.0,0.7
2018-08-01 21:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8,101.34,75.0,0.0,0.0,1.93
2018-08-01 22:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,101.35,78.0,0.0,0.0,1.44
2018-08-01 23:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1,101.36,77.0,0.0,0.0,0.86
2018-08-02 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1,101.36,77.0,0.0,0.0,0.96
2018-08-02 01:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,101.39,79.0,0.0,0.0,1.0
2018-08-02 02:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,101.39,83.0,0.0,0.0,1.14
2018-08-02 03:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,101.42,87.0,0.0,0.0,1.3
2018-08-02 04:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,101.43,87.0,0.0,0.0,1.39
2018-08-02 05:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.8,101.43,90.0,66.22,42.747,1.67
2018-08-02 06:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.9,101.46,89.0,291.35,263.486,1.84
2018-08-02 07:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.9,101.51,85.0,962.136,918.625,2.55
2018-08-02 08:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.8,101.55,81.0,1783.047,1715.172,2.01
2018-08-02 09:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16.4,101.62,77.0,2369.092,2280.309,1.76
2018-08-02 10:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16.9,101.65,75.0,2810.274,2703.822,1.98
2018-08-02 11:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.6,101.67,62.0,3050.142,2933.387,2.1
2018-08-02 12:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20.5,101.7,57.0,3097.18,2978.347,2.16
2018-08-02 13:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20.7,101.69,56.0,2968.303,2855.118,2.4
2018-08-02 14:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.3,101.7,56.0,2679.637,2578.59,2.06
2018-08-02 15:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.3,101.68,55.0,2003.487,1928.091,0.61
2018-08-02 16:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22.2,101.66,52.0,1394.742,1339.108,0.56
2018-08-02 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21.0,101.65,58.0,670.878,634.633,0.56
2018-08-02 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21.1,101.63,56.0,250.491,223.456,0.48
2018-08-02 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.9,101.62,61.0,8.311,0.0,0.49
2018-08-02 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.5,101.59,69.0,0.0,0.0,0.51
2018-08-02 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17.8,101.6,69.0,0.0,0.0,0.58
2018-08-02 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.9,101.64,71.0,0.0,0.0,0.48
2018-08-02 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.7,101.65,75.0,0.0,0.0,0.49
2018-08-03 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.6,101.62,78.0,0.0,0.0,0.51
2018-08-03 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.7,101.63,78.0,0.0,0.0,0.55
2018-08-03 02:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3,101.64,78.0,0.0,0.0,0.51
2018-08-03 03:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1,101.64,78.0,0.0,0.0,0.51
2018-08-03 04:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3,101.65,81.0,0.0,0.0,0.53
2018-08-03 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.5,101.66,81.0,57.445,34.135,0.53
2018-08-03 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.2,101.66,81.0,284.617,256.89,0.65
2018-08-03 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.2,101.74,81.0,980.682,936.685,0.5
2018-08-03 08:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1,101.77,81.0,1773.048,1705.504,0.46
2018-08-03 09:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8,101.79,76.0,2342.395,2254.628,0.51
2018-08-03 10:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,101.84,71.0,2799.742,2693.731,0.56
2018-08-03 11:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3,101.89,67.0,3103.749,2984.624,0.57
2018-08-03 12:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6,101.93,66.0,3037.091,2920.909,
2018-08-03 13:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8,101.93,60.0,2973.039,2859.649,0.56
2018-08-03 14:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.3,101.92,53.0,2639.078,2539.679,0.61
2018-08-03 15:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.1,101.9,58.0,2029.35,1953.045,0.6
2018-08-03 16:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23.1,101.88,63.0,1373.002,1318.014,0.54
2018-08-03 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.3,101.86,57.0,624.423,589.269,0.58
2018-08-03 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21.9,101.83,59.0,243.137,216.249,0.59
2018-08-03 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21.4,101.81,58.0,6.92,0.0,0.69
2018-08-03 20:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.5,101.81,61.0,0.0,0.0,1.53
2018-08-03 21:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.9,101.83,66.0,0.0,0.0,0.5
2018-08-03 22:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.0,101.85,68.0,0.0,0.0,0.44
2018-08-03 23:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,101.81,76.0,0.0,0.0,0.5
2018-08-04 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3,101.79,81.0,0.0,0.0,0.43
2018-08-04 01:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,101.79,82.0,0.0,0.0,0.45
2018-08-04 02:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,101.78,81.0,0.0,0.0,0.43
2018-08-04 03:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,101.75,81.0,0.0,0.0,0.42
