date,temperature,humidity,pressure,weather,dc_output,ac_output,energy_kWh
2019-11-29 00:00:00,-1.6,65.0,101.46,,0.0,0.0,0.09
2019-11-29 01:00:00,-0.6,61.0,101.43,,0.0,0.0,0.09
2019-11-29 02:00:00,-2.5,68.0,101.4,Clear,0.0,0.0,0.1
2019-11-29 03:00:00,-3.2,75.0,101.37,,0.0,0.0,0.09
2019-11-29 04:00:00,-2.9,66.0,101.35,,0.0,0.0,0.1
2019-11-29 05:00:00,-3.0,63.0,101.33,Clear,0.0,0.0,0.09
2019-11-29 06:00:00,-3.7,76.0,101.31,,0.0,0.0,0.09
2019-11-29 07:00:00,-4.5,71.0,101.31,,0.0,0.0,0.08
2019-11-29 08:00:00,-2.6,65.0,101.32,Clear,648.586,612.867,0.1
2019-11-29 09:00:00,-4.6,72.0,101.35,,753.214,714.988,0.09
2019-11-29 10:00:00,-1.6,64.0,101.32,,923.775,881.263,0.09
2019-11-29 11:00:00,0.8,54.0,101.34,Clear,1705.529,1640.2,0.09
2019-11-29 12:00:00,2.1,48.0,101.29,,1118.714,1070.999,0.09
2019-11-29 13:00:00,2.8,49.0,101.21,,2012.77,1937.048,0.09
2019-11-29 14:00:00,3.2,50.0,101.16,Clear,119.316,94.847,0.09
2019-11-29 15:00:00,4.1,50.0,101.11,,0.0,0.0,0.09
2019-11-29 16:00:00,3.6,62.0,101.12,,0.0,0.0,0.09
2019-11-29 17:00:00,0.9,71.0,101.16,Clear,0.0,0.0,0.09
2019-11-29 18:00:00,0.2,75.0,101.2,,0.0,0.0,0.08
2019-11-29 19:00:00,1.8,69.0,101.22,,0.0,0.0,0.09
2019-11-29 20:00:00,0.6,75.0,101.25,Clear,0.0,0.0,0.09
2019-11-29 21:00:00,-1.0,80.0,101.32,,0.0,0.0,0.09
2019-11-29 22:00:00,-1.7,73.0,101.35,,0.0,0.0,0.09
2019-11-29 23:00:00,-2.7,79.0,101.41,Clear,0.0,0.0,0.09
2019-11-30 00:00:00,-0.5,68.0,101.45,,0.0,0.0,0.09
2019-11-30 01:00:00,-2.3,74.0,101.48,,0.0,0.0,0.09
2019-11-30 02:00:00,-2.8,80.0,101.58,Clear,0.0,0.0,0.09
2019-11-30 03:00:00,-2.0,81.0,101.65,,0.0,0.0,0.09
2019-11-30 04:00:00,-5.0,85.0,101.71,,0.0,0.0,0.08
2019-11-30 05:00:00,-4.0,86.0,101.77,Clear,0.0,0.0,0.09
2019-11-30 06:00:00,-4.5,91.0,101.81,,0.0,0.0,0.09
2019-11-30 07:00:00,-3.9,87.0,101.85,,0.0,0.0,0.09
2019-11-30 08:00:00,-3.6,88.0,101.89,Mainly Clear,68.486,44.972,0.09
2019-11-30 09:00:00,-2.7,84.0,101.93,,182.468,156.782,0.08
2019-11-30 10:00:00,-2.0,85.0,101.94,,230.346,203.714,0.09
2019-11-30 11:00:00,0.9,73.0,101.98,Mainly Clear,275.588,248.045,0.09
2019-11-30 12:00:00,1.8,60.0,101.99,,301.657,273.582,0.09
2019-11-30 13:00:00,2.9,55.0,101.95,,236.956,210.192,0.09
