date,temperature,humidity,pressure,weather,dc_output,ac_output,energy_kWh
2016-06-29 00:00:00,16.7,82.0,101.89,,0.0,0.0,0.09
2016-06-29 01:00:00,15.1,87.0,101.94,,0.0,0.0,0.09
2016-06-29 02:00:00,14.4,90.0,101.96,Clear,0.0,0.0,0.09
2016-06-29 03:00:00,14.1,90.0,101.99,,0.0,0.0,0.09
2016-06-29 04:00:00,14.2,90.0,102.0,,13.354,0.0,0.09
2016-06-29 05:00:00,13.6,92.0,102.04,Mainly Clear,166.892,141.509,0.35
2016-06-29 06:00:00,13.9,92.0,102.07,,319.328,290.888,0.13
2016-06-29 07:00:00,15.1,87.0,102.1,,751.553,713.367,0.09
2016-06-29 08:00:00,16.1,82.0,102.12,Mainly Clear,1356.364,1301.87,0.09
2016-06-29 09:00:00,17.0,78.0,102.14,,2248.615,2164.37,0.09
2016-06-29 10:00:00,18.1,72.0,102.14,,2748.415,2644.541,0.09
2016-06-29 11:00:00,19.2,70.0,102.13,Clear,2990.091,2875.961,0.09
2016-06-29 12:00:00,20.6,67.0,102.09,,3144.628,3023.68,0.35
2016-06-29 13:00:00,18.9,79.0,102.04,,2914.578,2803.706,1.47
2016-06-29 14:00:00,21.3,74.0,101.99,Clear,2599.933,2502.113,1.27
2016-06-29 15:00:00,22.9,60.0,101.96,,2087.625,2009.249,1.71
2016-06-29 16:00:00,23.6,59.0,101.91,,1301.713,1248.82,1.57
2016-06-29 17:00:00,22.7,57.0,101.88,Clear,658.929,622.965,0.45
2016-06-29 18:00:00,22.8,59.0,101.85,,308.248,280.036,0.08
2016-06-29 19:00:00,21.1,61.0,101.83,,0.0,0.0,0.38
2016-06-29 20:00:00,19.4,69.0,101.83,Clear,0.0,0.0,0.09
2016-06-29 21:00:00,16.9,72.0,101.86,,0.0,0.0,0.1
2016-06-29 22:00:00,15.5,75.0,101.9,,0.0,0.0,0.35
2016-06-29 23:00:00,14.8,80.0,101.91,Mainly Clear,0.0,0.0,0.09
2016-06-30 00:00:00,14.2,84.0,101.95,,0.0,0.0,0.09
