date,temperature,humidity,pressure,weather,dc_output,ac_output,energy_kWh
2017-11-01 00:00:00,4.0,92.0,100.81,,0.0,0.0,0.11
2017-11-01 01:00:00,4.7,93.0,100.75,,0.0,0.0,0.1
2017-11-01 02:00:00,4.2,97.0,100.69,Mainly Clear,0.0,0.0,0.11
2017-11-01 03:00:00,7.1,96.0,100.71,,0.0,0.0,0.1
2017-11-01 04:00:00,9.0,84.0,100.67,,0.0,0.0,0.12
2017-11-01 05:00:00,9.2,84.0,100.56,Mainly Clear,0.0,0.0,0.1
2017-11-01 06:00:00,9.3,87.0,100.6,,0.0,0.0,0.1
2017-11-01 07:00:00,9.7,83.0,100.62,,35.678,12.768,0.27
2017-11-01 08:00:00,8.0,89.0,100.63,Mostly Cloudy,97.258,73.206,0.36
2017-11-01 09:00:00,7.2,93.0,100.67,,179.528,153.899,0.1
2017-11-01 10:00:00,9.7,83.0,100.72,,214.272,187.96,0.11
2017-11-01 11:00:00,10.9,77.0,100.76,Mainly Clear,226.46,199.906,0.09
2017-11-01 12:00:00,11.0,77.0,100.81,,224.266,197.756,0.1
2017-11-01 13:00:00,11.5,77.0,100.81,,198.634,172.631,0.1
2017-11-01 14:00:00,11.4,78.0,100.82,Mainly Clear,153.025,127.911,0.09
2017-11-01 15:00:00,10.5,79.0,100.79,,219.541,193.125,0.13
2017-11-01 16:00:00,10.5,81.0,100.79,,18.985,0.0,0.09
2017-11-01 17:00:00,10.3,77.0,100.77,Mostly Cloudy,0.0,0.0,0.13
2017-11-01 18:00:00,10.0,76.0,100.76,,0.0,0.0,0.16
2017-11-01 19:00:00,10.0,79.0,100.73,,0.0,0.0,0.37
2017-11-01 20:00:00,9.5,86.0,100.69,Cloudy,0.0,0.0,0.47
2017-11-01 21:00:00,8.8,93.0,100.66,,0.0,0.0,0.42
2017-11-01 22:00:00,8.4,94.0,100.66,,0.0,0.0,1.0
2017-11-01 23:00:00,8.7,91.0,100.6,Mostly Cloudy,0.0,0.0,0.52
2017-11-02 00:00:00,7.8,85.0,100.55,,0.0,0.0,0.12
2017-11-02 01:00:00,7.5,89.0,100.5,,0.0,0.0,0.09
2017-11-02 02:00:00,7.5,86.0,100.47,Cloudy,0.0,0.0,0.11
2017-11-02 03:00:00,7.4,87.0,100.45,,0.0,0.0,0.09
2017-11-02 04:00:00,8.7,82.0,100.41,,0.0,0.0,0.1
2017-11-02 05:00:00,8.1,82.0,100.33,Mainly Clear,0.0,0.0,0.1
2017-11-02 06:00:00,7.8,81.0,100.31,,0.0,0.0,0.09
2017-11-02 07:00:00,8.4,80.0,100.27,Rain,19.006,0.0,0.2
2017-11-02 08:00:00,8.0,86.0,100.25,Rain,92.778,68.811,0.29
2017-11-02 09:00:00,7.4,91.0,100.21,Moderate Rain,161.99,136.702,0.18
2017-11-02 10:00:00,7.5,95.0,100.16,Rain,213.766,187.464,0.12
2017-11-02 11:00:00,8.0,93.0,100.12,Rain,226.481,199.927,0.21
2017-11-02 12:00:00,6.6,94.0,100.11,Moderate Rain,223.234,196.744,0.31
2017-11-02 13:00:00,5.8,93.0,100.14,Rain,220.058,193.631,0.29
2017-11-02 14:00:00,5.0,92.0,100.16,Rain,182.271,156.588,0.13
2017-11-02 15:00:00,3.9,91.0,100.33,Moderate Rain,170.238,144.79,0.1
2017-11-02 16:00:00,3.1,91.0,100.51,Rain,12.863,0.0,0.13
2017-11-02 17:00:00,2.6,93.0,100.61,Rain,0.0,0.0,0.11
2017-11-02 18:00:00,2.6,93.0,100.65,,0.0,0.0,1.69
2017-11-02 19:00:00,2.9,87.0,100.67,,0.0,0.0,0.44
2017-11-02 20:00:00,2.8,84.0,100.79,Cloudy,0.0,0.0,0.33
2017-11-02 21:00:00,3.1,76.0,100.82,,0.0,0.0,0.5
2017-11-02 22:00:00,3.1,70.0,100.88,,0.0,0.0,0.44
2017-11-02 23:00:00,2.9,67.0,100.94,Cloudy,0.0,0.0,0.29
2017-11-03 00:00:00,2.3,73.0,100.98,,0.0,0.0,0.28
2017-11-03 01:00:00,3.0,62.0,101.04,,0.0,0.0,0.31
2017-11-03 02:00:00,0.8,87.0,101.14,Snow,0.0,0.0,0.28
2017-11-03 03:00:00,0.2,93.0,101.22,Snow,0.0,0.0,0.29
2017-11-03 04:00:00,0.4,88.0,101.23,,0.0,0.0,0.42
2017-11-03 05:00:00,0.7,82.0,101.25,Cloudy,0.0,0.0,0.34
2017-11-03 06:00:00,0.7,82.0,101.28,,0.0,0.0,0.27
2017-11-03 07:00:00,1.4,64.0,101.35,,356.971,327.745,0.29
2017-11-03 08:00:00,1.2,68.0,101.4,Cloudy,1269.247,1217.294,0.17
2017-11-03 09:00:00,1.4,66.0,101.5,,2074.428,1996.523,0.14
2017-11-03 10:00:00,1.9,69.0,101.58,,2064.476,1986.926,0.41
2017-11-03 11:00:00,2.6,58.0,101.65,Mostly Cloudy,1504.107,1445.155,0.5
2017-11-03 12:00:00,3.0,51.0,101.72,,2037.969,1961.359,0.75
2017-11-03 13:00:00,3.7,50.0,101.73,,2253.314,2168.894,0.17
2017-11-03 14:00:00,3.7,45.0,101.75,Mostly Cloudy,1672.53,1608.269,0.08
2017-11-03 15:00:00,4.0,45.0,101.72,,1093.921,1046.886,0.25
2017-11-03 16:00:00,4.0,42.0,101.75,,202.832,176.746,0.39
2017-11-03 17:00:00,3.8,50.0,101.77,Mostly Cloudy,0.0,0.0,0.74
2017-11-03 18:00:00,2.6,50.0,101.77,,0.0,0.0,0.4
2017-11-03 19:00:00,1.5,57.0,101.8,,0.0,0.0,0.36
2017-11-03 20:00:00,1.4,65.0,101.81,Mainly Clear,0.0,0.0,0.43
2017-11-03 21:00:00,0.5,67.0,101.82,,0.0,0.0,0.48
2017-11-03 22:00:00,-0.7,74.0,101.86,,0.0,0.0,0.43
2017-11-03 23:00:00,-1.2,76.0,101.9,Mainly Clear,0.0,0.0,0.25
2017-11-04 00:00:00,-1.4,75.0,101.89,,0.0,0.0,0.11
2017-11-04 01:00:00,-0.9,72.0,101.87,,0.0,0.0,0.27
2017-11-04 02:00:00,-1.7,76.0,101.86,Mostly Cloudy,0.0,0.0,0.3
2017-11-04 03:00:00,-1.4,72.0,101.85,,0.0,0.0,0.2
2017-11-04 04:00:00,-1.6,77.0,101.8,,0.0,0.0,0.19
2017-11-04 05:00:00,-0.9,76.0,101.79,Cloudy,0.0,0.0,0.23
2017-11-04 06:00:00,-1.2,80.0,101.76,,0.0,0.0,0.13
