date,hour,humidity,pressure,dc_output,ac_output,weather,energy_kWh
2015-09-29 00:00:00,0,93,100.74,0.0,0.0,,0.81
2015-09-29 01:00:00,1,94,100.73,0.0,0.0,,0.3
2015-09-29 02:00:00,2,94,100.72,0.0,0.0,,0.98
2015-09-29 03:00:00,3,96,100.7,0.0,0.0,,1.77
2015-09-29 04:00:00,4,91,100.69,0.0,0.0,,2.66
2015-09-29 05:00:00,5,82,100.67,0.0,0.0,,2.7
2015-09-29 06:00:00,6,80,100.69,74.306,50.683,,2.92
2015-09-29 07:00:00,7,81,100.7,134.555,109.795,,3.0
2015-09-29 08:00:00,8,81,100.73,1352.267,1297.893,,0.51
2015-09-29 09:00:00,9,77,100.75,777.748,738.921,,0.3
2015-09-29 10:00:00,10,72,100.76,405.292,375.041,,0.28
2015-09-29 11:00:00,11,70,100.78,1505.877,1446.87,,0.56
2015-09-29 12:00:00,12,70,100.76,1181.43,1131.973,,0.58
2015-09-29 13:00:00,13,65,100.73,1772.108,1704.595,,0.53
2015-09-29 14:00:00,14,60,100.68,325.617,297.046,,0.89
2015-09-29 15:00:00,15,54,100.62,278.374,250.775,,1.15
2015-09-29 16:00:00,16,53,100.57,291.281,263.418,,0.98
2015-09-29 17:00:00,17,56,100.55,24.483,1.778,,0.86
2015-09-29 18:00:00,18,60,100.53,0.0,0.0,,0.87
2015-09-29 19:00:00,19,79,100.53,0.0,0.0,,0.88
2015-09-29 20:00:00,20,89,100.57,0.0,0.0,,0.86
2015-09-29 21:00:00,21,91,100.59,0.0,0.0,,0.82
2015-09-29 22:00:00,22,92,100.61,0.0,0.0,,1.15
2015-09-29 23:00:00,23,93,100.64,0.0,0.0,,0.94
2015-09-30 00:00:00,0,96,100.67,0.0,0.0,,0.72
2015-09-30 01:00:00,1,96,100.68,0.0,0.0,,0.33
2015-09-30 02:00:00,2,96,100.71,0.0,0.0,,0.92
2015-09-30 03:00:00,3,97,100.73,0.0,0.0,,2.18
2015-09-30 04:00:00,4,97,100.75,0.0,0.0,,3.11
2015-09-30 05:00:00,5,98,100.77,0.0,0.0,,3.32
2015-09-30 06:00:00,6,98,100.79,21.806,0.0,,3.47
2015-09-30 07:00:00,7,98,100.83,131.245,106.548,,3.41
2015-09-30 10:00:00,10,82,100.91,564.91,531.128,,0.41
2015-09-30 11:00:00,11,76,100.92,727.825,690.216,,0.62
2015-09-30 12:00:00,12,74,100.89,468.931,437.298,,0.63
2015-09-30 13:00:00,13,70,100.85,2092.751,2014.192,,0.67
2015-09-30 14:00:00,14,73,100.83,2008.098,1932.54,,0.77
2015-09-30 15:00:00,15,69,100.81,1454.518,1397.083,,0.45
2015-09-30 16:00:00,16,60,100.8,841.204,800.798,,0.56
2015-09-30 17:00:00,17,58,100.77,90.989,67.055,,0.64
2015-09-30 18:00:00,18,60,100.73,0.0,0.0,,0.51
2015-09-30 19:00:00,19,74,100.7,0.0,0.0,,0.62
2015-09-30 20:00:00,20,88,100.73,0.0,0.0,,0.38
2015-09-30 21:00:00,21,92,100.75,0.0,0.0,,0.5
2015-09-30 22:00:00,22,95,100.77,0.0,0.0,,0.8
2015-09-30 23:00:00,23,97,100.8,0.0,0.0,,0.77
2015-10-01 00:00:00,0,97,100.79,0.0,0.0,,0.54
2015-10-01 01:00:00,1,98,100.8,0.0,0.0,,0.31
2015-10-01 02:00:00,2,98,100.83,0.0,0.0,,0.8
2015-10-01 03:00:00,3,98,100.86,0.0,0.0,,1.25
2015-10-01 04:00:00,4,97,100.84,0.0,0.0,,2.65
2015-10-01 05:00:00,5,98,100.84,0.0,0.0,,1.91
2015-10-01 06:00:00,6,98,100.9,36.605,13.678,,2.72
2015-10-01 07:00:00,7,98,100.92,150.97,125.895,,2.63
2015-10-01 08:00:00,8,98,100.96,300.742,272.686,,1.28
2015-10-01 09:00:00,9,99,100.98,436.787,405.855,,0.38
2015-10-01 10:00:00,10,87,101.0,531.521,498.495,,0.41
2015-10-01 11:00:00,11,74,101.0,487.278,455.24,,0.54
2015-10-01 12:00:00,12,72,100.99,485.095,453.105,,1.27
2015-10-01 13:00:00,13,72,100.98,535.135,502.028,,0.81
2015-10-01 14:00:00,14,68,100.96,741.313,703.376,,0.65
2015-10-01 15:00:00,15,66,100.93,417.852,387.331,,0.68
2015-10-01 16:00:00,16,62,100.93,541.756,508.499,,0.58
2015-10-01 17:00:00,17,65,100.94,57.833,34.516,,0.73
2015-10-01 18:00:00,18,68,100.96,0.0,0.0,,0.78
2015-10-01 19:00:00,19,79,101.0,0.0,0.0,,0.69
2015-10-01 20:00:00,20,88,101.05,0.0,0.0,,0.55
2015-10-01 21:00:00,21,89,101.08,0.0,0.0,,0.89
2015-10-01 22:00:00,22,89,101.11,0.0,0.0,,0.85
2015-10-01 23:00:00,23,92,101.18,0.0,0.0,,0.84
2015-10-02 00:00:00,0,95,101.24,0.0,0.0,,0.53
2015-10-02 01:00:00,1,97,101.26,0.0,0.0,,0.27
2015-10-02 02:00:00,2,97,101.28,0.0,0.0,,0.31
2015-10-02 03:00:00,3,97,101.29,0.0,0.0,,1.13
2015-10-02 04:00:00,4,98,101.31,0.0,0.0,,2.7
2015-10-02 05:00:00,5,98,101.32,0.0,0.0,,2.52
2015-10-02 06:00:00,6,98,101.37,70.418,46.867,,2.16
2015-10-02 07:00:00,7,98,101.37,397.996,367.9,,3.37
2015-10-02 08:00:00,8,98,101.36,298.715,270.699,,2.19
2015-10-02 09:00:00,9,98,101.45,435.721,404.813,,1.86
2015-10-02 10:00:00,10,95,101.46,2002.9,1927.525,,1.7
2015-10-02 11:00:00,11,89,101.4,2127.216,2047.417,,1.2
2015-10-02 12:00:00,12,86,101.41,1345.01,1290.85,,1.09
2015-10-02 13:00:00,13,84,101.34,2427.579,2336.55,,1.12
2015-10-02 14:00:00,14,84,101.26,2460.463,2368.158,,0.39
2015-10-02 15:00:00,15,80,101.22,1407.836,1351.81,,2.71
2015-10-02 16:00:00,16,88,101.19,760.886,722.472,,0.47
2015-10-02 17:00:00,17,87,101.07,92.821,68.852,,0.54
2015-10-02 18:00:00,18,79,101.04,0.0,0.0,,0.68
2015-10-02 19:00:00,19,94,101.1,0.0,0.0,,0.82
2015-10-02 20:00:00,20,96,101.13,0.0,0.0,,0.7
2015-10-02 21:00:00,21,96,101.15,0.0,0.0,,0.61
2015-10-02 22:00:00,22,94,101.16,0.0,0.0,,0.85
2015-10-02 23:00:00,23,86,101.15,0.0,0.0,,1.31
2015-10-03 00:00:00,0,86,101.16,0.0,0.0,,0.66
2015-10-03 01:00:00,1,88,101.17,0.0,0.0,,0.59
2015-10-03 02:00:00,2,92,101.21,0.0,0.0,,0.61
2015-10-03 03:00:00,3,92,101.22,0.0,0.0,,2.04
2015-10-03 04:00:00,4,89,101.24,0.0,0.0,,2.94
2015-10-03 05:00:00,5,93,101.2,0.0,0.0,,3.0
2015-10-03 06:00:00,6,93,101.19,144.537,119.586,,2.58
2015-10-03 07:00:00,7,94,101.23,897.023,855.199,,2.64
2015-10-03 08:00:00,8,94,101.25,1794.256,1726.008,,1.06
2015-10-03 09:00:00,9,63,101.27,2478.873,2385.849,,1.06
2015-10-03 10:00:00,10,56,101.25,3001.602,2886.972,,0.31
2015-10-03 11:00:00,11,53,101.23,3229.307,3104.537,,2.43
2015-10-03 12:00:00,12,51,101.2,3224.477,3099.926,,2.14
2015-10-03 13:00:00,13,43,101.21,2884.11,2774.539,,2.33
2015-10-03 14:00:00,14,41,101.17,2434.618,2343.316,,1.22
2015-10-03 15:00:00,15,37,101.11,1699.725,1634.585,,1.13
2015-10-03 16:00:00,16,33,101.04,796.077,756.797,,1.4
2015-10-03 17:00:00,17,41,101.04,103.168,79.004,,0.86
2015-10-03 18:00:00,18,51,101.03,0.0,0.0,,0.69
2015-10-03 19:00:00,19,66,101.02,0.0,0.0,,0.29
2015-10-03 20:00:00,20,73,101.02,0.0,0.0,,0.65
2015-10-03 21:00:00,21,75,101.04,0.0,0.0,,0.94
2015-10-03 22:00:00,22,81,101.0,0.0,0.0,,0.95
2015-10-03 23:00:00,23,61,100.97,0.0,0.0,,1.18
2015-10-04 00:00:00,0,74,100.97,0.0,0.0,,0.71
2015-10-04 01:00:00,1,63,100.93,0.0,0.0,,1.16
2015-10-04 02:00:00,2,53,100.92,0.0,0.0,,2.9
2015-10-04 03:00:00,3,53,100.94,0.0,0.0,,2.19
2015-10-04 04:00:00,4,51,100.93,0.0,0.0,,3.15
2015-10-04 05:00:00,5,56,100.93,0.0,0.0,,3.23
2015-10-04 06:00:00,6,59,100.9,105.297,81.094,,3.17
2015-10-04 07:00:00,7,60,100.89,804.196,764.714,,2.91
2015-10-04 08:00:00,8,63,100.84,1677.001,1612.596,,2.61
