date,hour,temperature,humidity,pressure,dc_output,ac_output,weather,energy_kWh
2017-05-13 00:00:00,0,7.2,86.0,101.39,0.0,0.0,,0.18
2017-05-13 01:00:00,1,7.6,83.0,101.4,0.0,0.0,,0.19
2017-05-13 02:00:00,2,8.1,83.0,101.38,0.0,0.0,Mostly Cloudy,0.19
2017-05-13 03:00:00,3,7.5,84.0,101.36,0.0,0.0,,0.18
2017-05-13 04:00:00,4,7.1,88.0,101.33,0.0,0.0,,0.18
2017-05-13 05:00:00,5,7.0,88.0,101.34,144.502,119.551,Mostly Cloudy,0.21
2017-05-13 06:00:00,6,7.9,83.0,101.33,302.334,274.245,,0.33
2017-05-13 07:00:00,7,8.3,80.0,101.35,1103.115,1055.829,,0.22
2017-05-13 08:00:00,8,8.6,85.0,101.36,1941.777,1868.528,Mostly Cloudy,0.54
2017-05-13 09:00:00,9,8.6,85.0,101.41,2608.193,2510.041,,0.37
2017-05-13 10:00:00,10,9.4,82.0,101.42,2016.161,1940.32,Rain Showers,0.25
2017-05-13 11:00:00,11,10.2,82.0,101.41,3227.544,3102.854,Mostly Cloudy,0.21
2017-05-13 12:00:00,12,12.5,78.0,101.4,3370.469,3239.19,,0.18
2017-05-13 13:00:00,13,12.7,75.0,101.38,3052.552,2935.691,,0.29
2017-05-13 14:00:00,14,12.9,68.0,101.35,2035.053,1958.546,Mostly Cloudy,0.21
2017-05-13 15:00:00,15,11.9,69.0,101.35,1934.958,1861.944,,0.47
2017-05-13 16:00:00,16,12.8,65.0,101.31,649.676,613.931,,0.66
2017-05-13 17:00:00,17,13.3,59.0,101.29,656.06,620.164,Mostly Cloudy,0.78
2017-05-13 18:00:00,18,12.0,74.0,101.29,262.669,235.388,,0.73
2017-05-13 19:00:00,19,11.5,71.0,101.31,3.675,0.0,,0.27
2017-05-13 20:00:00,20,11.0,73.0,101.33,0.0,0.0,Cloudy,0.27
2017-05-13 21:00:00,21,10.3,78.0,101.35,0.0,0.0,,0.48
2017-05-13 22:00:00,22,10.6,72.0,101.39,0.0,0.0,,0.43
2017-05-13 23:00:00,23,9.8,80.0,101.4,0.0,0.0,Cloudy,0.42
2017-05-14 00:00:00,0,9.7,83.0,101.42,0.0,0.0,,0.2
2017-05-14 01:00:00,1,8.8,82.0,101.42,0.0,0.0,,0.19
2017-05-14 02:00:00,2,8.9,82.0,101.44,0.0,0.0,Mostly Cloudy,0.19
2017-05-14 03:00:00,3,9.2,82.0,101.45,0.0,0.0,,0.19
2017-05-14 04:00:00,4,9.1,82.0,101.45,0.0,0.0,,0.25
2017-05-14 05:00:00,5,8.7,84.0,101.45,147.064,122.064,Mostly Cloudy,0.22
2017-05-14 06:00:00,6,8.8,85.0,101.48,287.146,259.368,,0.27
2017-05-14 07:00:00,7,9.1,86.0,101.5,339.012,310.163,,0.3
2017-05-14 08:00:00,8,10.2,83.0,101.52,649.016,613.286,Cloudy,0.76
2017-05-14 09:00:00,9,10.1,81.0,101.55,733.664,695.914,,0.69
2017-05-14 10:00:00,10,8.8,87.0,101.55,873.987,832.752,Moderate Rain Showers,0.44
2017-05-14 11:00:00,11,10.1,82.0,101.55,2227.748,2144.276,Cloudy,0.37
2017-05-14 12:00:00,12,11.1,72.0,101.53,1591.637,1529.956,,0.53
2017-05-14 13:00:00,13,12.0,72.0,101.52,941.132,898.169,,0.7
2017-05-14 14:00:00,14,11.8,74.0,101.49,989.926,945.685,Mostly Cloudy,0.45
2017-05-14 15:00:00,15,11.9,75.0,101.47,1400.131,1344.335,,0.19
2017-05-14 16:00:00,16,13.8,70.0,101.42,794.572,755.33,,0.18
2017-05-14 17:00:00,17,11.6,74.0,101.41,462.443,430.953,Mostly Cloudy,0.18
2017-05-14 18:00:00,18,13.0,72.0,101.4,290.794,262.941,,0.18
2017-05-14 19:00:00,19,12.7,72.0,101.41,5.304,0.0,,0.18
2017-05-14 20:00:00,20,11.1,73.0,101.42,0.0,0.0,Mainly Clear,0.21
2017-05-14 21:00:00,21,10.2,82.0,101.44,0.0,0.0,,3.35
2017-05-14 22:00:00,22,10.8,78.0,101.45,0.0,0.0,,2.94
2017-05-14 23:00:00,23,9.8,82.0,101.46,0.0,0.0,Mostly Cloudy,1.16
2017-05-15 00:00:00,0,10.0,84.0,101.45,0.0,0.0,,0.21
2017-05-15 01:00:00,1,10.0,86.0,101.45,0.0,0.0,,0.2
2017-05-15 02:00:00,2,9.2,89.0,101.43,0.0,0.0,Mostly Cloudy,0.2
2017-05-15 03:00:00,3,9.3,86.0,101.42,0.0,0.0,,0.19
2017-05-15 04:00:00,4,8.7,89.0,101.41,0.0,0.0,,0.2
2017-05-15 05:00:00,5,7.7,89.0,101.39,130.865,106.176,Mostly Cloudy,0.18
2017-05-15 06:00:00,6,7.2,87.0,101.38,473.128,441.403,,0.43
2017-05-15 07:00:00,7,9.1,79.0,101.36,1141.847,1093.493,,0.63
2017-05-15 08:00:00,8,9.3,84.0,101.37,1980.412,1905.823,Rain,0.53
2017-05-15 09:00:00,9,10.3,70.0,101.35,2570.91,2474.25,,0.43
2017-05-15 10:00:00,10,9.7,78.0,101.35,3118.658,2998.87,Rain,0.28
2017-05-15 11:00:00,11,9.2,88.0,101.35,1693.057,1628.133,Rain,0.45
2017-05-15 12:00:00,12,10.1,82.0,101.32,1770.129,1702.681,Rain,0.3
2017-05-15 13:00:00,13,10.6,73.0,101.29,782.219,743.281,Rain,0.31
2017-05-15 14:00:00,14,10.6,80.0,101.24,1801.686,1733.191,Rain,0.3
2017-05-15 15:00:00,15,10.2,79.0,101.18,566.411,532.595,Rain,0.35
2017-05-15 16:00:00,16,9.6,86.0,101.13,740.744,702.821,Rain,0.65
2017-05-15 17:00:00,17,8.9,88.0,101.09,451.398,420.149,Rain,1.79
2017-05-15 18:00:00,18,8.7,94.0,101.0,279.198,251.582,Rain,0.48
2017-05-15 19:00:00,19,8.6,94.0,100.91,8.075,0.0,Rain,1.52
2017-05-15 20:00:00,20,8.5,93.0,100.81,0.0,0.0,Rain,1.71
2017-05-15 21:00:00,21,8.3,95.0,100.69,0.0,0.0,Rain,0.63
