date,hour,temperature,humidity,pressure,dc_output,ac_output,weather,energy_kWh
2019-11-29 00:00:00,0,-1.6,65.0,101.46,0.0,0.0,,0.09
2019-11-29 01:00:00,1,-0.6,61.0,101.43,0.0,0.0,,0.09
2019-11-29 02:00:00,2,-2.5,68.0,101.4,0.0,0.0,Clear,0.1
2019-11-29 03:00:00,3,-3.2,75.0,101.37,0.0,0.0,,0.09
2019-11-29 04:00:00,4,-2.9,66.0,101.35,0.0,0.0,,0.1
2019-11-29 05:00:00,5,-3.0,63.0,101.33,0.0,0.0,Clear,0.09
2019-11-29 06:00:00,6,-3.7,76.0,101.31,0.0,0.0,,0.09
2019-11-29 07:00:00,7,-4.5,71.0,101.31,0.0,0.0,,0.08
2019-11-29 08:00:00,8,-2.6,65.0,101.32,648.586,612.867,Clear,0.1
2019-11-29 09:00:00,9,-4.6,72.0,101.35,753.214,714.988,,0.09
2019-11-29 10:00:00,10,-1.6,64.0,101.32,923.775,881.263,,0.09
2019-11-29 11:00:00,11,0.8,54.0,101.34,1705.529,1640.2,Clear,0.09
2019-11-29 12:00:00,12,2.1,48.0,101.29,1118.714,1070.999,,0.09
2019-11-29 13:00:00,13,2.8,49.0,101.21,2012.77,1937.048,,0.09
2019-11-29 14:00:00,14,3.2,50.0,101.16,119.316,94.847,Clear,0.09
2019-11-29 15:00:00,15,4.1,50.0,101.11,0.0,0.0,,0.09
2019-11-29 16:00:00,16,3.6,62.0,101.12,0.0,0.0,,0.09
2019-11-29 17:00:00,17,0.9,71.0,101.16,0.0,0.0,Clear,0.09
2019-11-29 18:00:00,18,0.2,75.0,101.2,0.0,0.0,,0.08
2019-11-29 19:00:00,19,1.8,69.0,101.22,0.0,0.0,,0.09
2019-11-29 20:00:00,20,0.6,75.0,101.25,0.0,0.0,Clear,0.09
2019-11-29 21:00:00,21,-1.0,80.0,101.32,0.0,0.0,,0.09
2019-11-29 22:00:00,22,-1.7,73.0,101.35,0.0,0.0,,0.09
2019-11-29 23:00:00,23,-2.7,79.0,101.41,0.0,0.0,Clear,0.09
2019-11-30 00:00:00,0,-0.5,68.0,101.45,0.0,0.0,,0.09
2019-11-30 01:00:00,1,-2.3,74.0,101.48,0.0,0.0,,0.09
