date,hour,humidity,pressure,dc_output,ac_output,weather,energy_kWh
2015-01-30 00:00:00,0,97.0,102.68,0.0,0.0,,0.69
2015-01-30 01:00:00,1,95.0,102.68,0.0,0.0,,0.57
2015-01-30 02:00:00,2,97.0,102.69,0.0,0.0,Mainly Clear,0.43
2015-01-30 03:00:00,3,96.0,102.68,0.0,0.0,,0.22
2015-01-30 04:00:00,4,96.0,102.68,0.0,0.0,,0.23
2015-01-30 05:00:00,5,97.0,102.66,0.0,0.0,Mainly Clear,0.2
2015-01-30 06:00:00,6,98.0,102.66,0.0,0.0,,0.2
2015-01-30 07:00:00,7,98.0,102.64,0.0,0.0,,0.2
2015-01-30 08:00:00,8,98.0,102.65,39.23,16.256,Mainly Clear,0.21
2015-01-30 09:00:00,9,97.0,102.63,213.129,186.839,,0.19
2015-01-30 10:00:00,10,96.0,102.65,658.275,622.327,,0.22
2015-01-30 11:00:00,11,87.0,102.69,1193.772,1143.968,Clear,0.19
2015-01-30 12:00:00,12,90.0,102.67,470.839,439.164,,0.19
2015-01-30 13:00:00,13,92.0,102.62,848.179,807.597,,0.19
2015-01-30 14:00:00,14,85.0,102.56,774.545,735.796,Mainly Clear,0.3
2015-01-30 15:00:00,15,93.0,102.55,1231.459,1180.588,,0.28
2015-01-30 16:00:00,16,98.0,102.52,0.0,0.0,Fog,0.2
2015-01-30 17:00:00,17,98.0,102.49,0.0,0.0,Fog,0.4
2015-01-30 18:00:00,18,99.0,102.51,0.0,0.0,Fog,1.02
2015-01-30 19:00:00,19,99.0,102.48,0.0,0.0,,1.02
2015-01-30 20:00:00,20,99.0,102.45,0.0,0.0,Cloudy,1.36
2015-01-30 21:00:00,21,99.0,102.45,0.0,0.0,,1.72
2015-01-30 22:00:00,22,99.0,102.44,0.0,0.0,,1.07
2015-01-30 23:00:00,23,98.0,102.43,0.0,0.0,Cloudy,0.95
2015-01-31 00:00:00,0,98.0,102.46,0.0,0.0,,0.89
2015-01-31 01:00:00,1,97.0,102.47,0.0,0.0,Fog,0.43
2015-01-31 02:00:00,2,98.0,102.48,0.0,0.0,Fog,0.21
2015-01-31 03:00:00,3,98.0,102.51,0.0,0.0,Fog,0.21
2015-01-31 04:00:00,4,98.0,102.49,0.0,0.0,Fog,0.2
2015-01-31 05:00:00,5,98.0,102.49,0.0,0.0,Fog,0.2
2015-01-31 06:00:00,6,98.0,102.52,0.0,0.0,Fog,0.2
2015-01-31 07:00:00,7,99.0,102.47,0.0,0.0,Fog,0.2
2015-01-31 08:00:00,8,99.0,102.47,717.018,679.669,Fog,0.19
2015-01-31 09:00:00,9,99.0,102.52,1539.228,1479.189,Fog,0.21
2015-01-31 10:00:00,10,99.0,102.49,2245.886,2161.742,Fog,0.25
2015-01-31 11:00:00,11,99.0,102.5,2793.276,2687.536,Fog,0.2
2015-01-31 12:00:00,12,99.0,102.5,2823.668,2716.653,Fog,0.26
2015-01-31 13:00:00,13,98.0,102.43,2425.791,2334.83,,0.27
2015-01-31 14:00:00,14,93.0,102.33,968.95,925.261,Mostly Cloudy,0.47
2015-01-31 15:00:00,15,93.0,102.26,969.522,925.818,,0.55
2015-01-31 16:00:00,16,93.0,102.23,0.0,0.0,,0.59
2015-01-31 17:00:00,17,93.0,102.23,0.0,0.0,Cloudy,0.37
2015-01-31 18:00:00,18,94.0,102.21,0.0,0.0,,0.91
2015-01-31 19:00:00,19,96.0,102.23,0.0,0.0,,0.84
2015-01-31 20:00:00,20,96.0,102.15,0.0,0.0,Cloudy,1.09
2015-01-31 21:00:00,21,96.0,102.11,0.0,0.0,,1.01
2015-01-31 22:00:00,22,95.0,102.1,0.0,0.0,,0.85
2015-01-31 23:00:00,23,97.0,102.05,0.0,0.0,Cloudy,0.9
2015-02-01 00:00:00,0,93.0,102.01,0.0,0.0,Rain,0.9
2015-02-01 01:00:00,1,97.0,102.01,0.0,0.0,Rain,0.31
2015-02-01 02:00:00,2,97.0,101.9,0.0,0.0,Cloudy,0.2
2015-02-01 03:00:00,3,95.0,101.84,0.0,0.0,,0.2
2015-02-01 04:00:00,4,97.0,101.81,0.0,0.0,,0.2
2015-02-01 05:00:00,5,98.0,101.75,0.0,0.0,Cloudy,0.19
2015-02-01 06:00:00,6,98.0,101.76,0.0,0.0,,0.19
2015-02-01 07:00:00,7,95.0,101.71,0.0,0.0,,0.19
2015-02-01 08:00:00,8,90.0,101.59,743.309,705.324,Cloudy,0.2
2015-02-01 09:00:00,9,93.0,101.55,943.283,900.265,,0.2
2015-02-01 10:00:00,10,93.0,101.5,1248.399,1197.044,,0.31
2015-02-01 11:00:00,11,95.0,101.51,1685.967,1621.273,Rain,0.32
2015-02-01 12:00:00,12,95.0,101.54,442.378,411.325,Rain,0.6
2015-02-01 13:00:00,13,96.0,101.52,411.301,380.921,Rain,0.38
2015-02-01 14:00:00,14,94.0,101.53,1953.026,1879.388,Cloudy,0.34
2015-02-01 15:00:00,15,87.0,101.52,798.499,759.159,,0.32
2015-02-01 16:00:00,16,89.0,101.55,0.0,0.0,,0.43
2015-02-01 17:00:00,17,88.0,101.56,0.0,0.0,Cloudy,0.53
2015-02-01 18:00:00,18,89.0,101.64,0.0,0.0,,0.51
2015-02-01 19:00:00,19,91.0,101.62,0.0,0.0,,0.54
2015-02-01 20:00:00,20,92.0,101.68,0.0,0.0,Cloudy,0.46
2015-02-01 21:00:00,21,94.0,101.7,0.0,0.0,,0.75
2015-02-01 22:00:00,22,93.0,101.74,0.0,0.0,,0.76
2015-02-01 23:00:00,23,93.0,101.77,0.0,0.0,Cloudy,1.04
2015-02-02 00:00:00,0,93.0,101.8,0.0,0.0,,0.91
2015-02-02 01:00:00,1,93.0,101.78,0.0,0.0,,0.82
2015-02-02 02:00:00,2,95.0,101.74,0.0,0.0,Cloudy,0.42
2015-02-02 03:00:00,3,94.0,101.67,0.0,0.0,,0.42
2015-02-02 04:00:00,4,95.0,101.62,0.0,0.0,,0.4
2015-02-02 05:00:00,5,93.0,101.59,0.0,0.0,Cloudy,0.22
2015-02-02 06:00:00,6,93.0,101.53,0.0,0.0,,0.21
2015-02-02 07:00:00,7,91.0,101.41,0.0,0.0,,0.23
2015-02-02 08:00:00,8,88.0,101.32,885.691,844.158,Cloudy,0.3
2015-02-02 09:00:00,9,86.0,101.2,1823.968,1754.727,Rain,0.17
2015-02-02 10:00:00,10,89.0,101.12,2273.223,2188.061,,0.13
2015-02-02 11:00:00,11,91.0,101.09,1468.958,1411.083,Cloudy,0.13
2015-02-02 12:00:00,12,94.0,101.1,1902.615,1830.711,Rain,0.13
2015-02-02 13:00:00,13,92.0,101.04,865.745,824.718,Rain,0.14
2015-02-02 14:00:00,14,93.0,101.06,574.149,540.156,Rain,0.15
2015-02-02 15:00:00,15,92.0,101.09,857.148,816.34,Rain,0.13
2015-02-02 16:00:00,16,92.0,101.14,0.0,0.0,Rain,0.13
