date,hour,humidity,pressure,dc_output,ac_output,weather,energy_kWh
2019-11-29 00:00:00,0,65.0,101.46,0.0,0.0,,0.09
2019-11-29 01:00:00,1,61.0,101.43,0.0,0.0,,0.09
2019-11-29 02:00:00,2,68.0,101.4,0.0,0.0,Clear,0.1
2019-11-29 03:00:00,3,75.0,101.37,0.0,0.0,,0.09
2019-11-29 04:00:00,4,66.0,101.35,0.0,0.0,,0.1
2019-11-29 05:00:00,5,63.0,101.33,0.0,0.0,Clear,0.09
2019-11-29 06:00:00,6,76.0,101.31,0.0,0.0,,0.09
2019-11-29 07:00:00,7,71.0,101.31,0.0,0.0,,0.08
2019-11-29 08:00:00,8,65.0,101.32,648.586,612.867,Clear,0.1
2019-11-29 09:00:00,9,72.0,101.35,753.214,714.988,,0.09
2019-11-29 10:00:00,10,64.0,101.32,923.775,881.263,,0.09
2019-11-29 11:00:00,11,54.0,101.34,1705.529,1640.2,Clear,0.09
2019-11-29 12:00:00,12,48.0,101.29,1118.714,1070.999,,0.09
2019-11-29 13:00:00,13,49.0,101.21,2012.77,1937.048,,0.09
2019-11-29 14:00:00,14,50.0,101.16,119.316,94.847,Clear,0.09
2019-11-29 15:00:00,15,50.0,101.11,0.0,0.0,,0.09
2019-11-29 16:00:00,16,62.0,101.12,0.0,0.0,,0.09
2019-11-29 17:00:00,17,71.0,101.16,0.0,0.0,Clear,0.09
2019-11-29 18:00:00,18,75.0,101.2,0.0,0.0,,0.08
2019-11-29 19:00:00,19,69.0,101.22,0.0,0.0,,0.09
2019-11-29 20:00:00,20,75.0,101.25,0.0,0.0,Clear,0.09
2019-11-29 21:00:00,21,80.0,101.32,0.0,0.0,,0.09
2019-11-29 22:00:00,22,73.0,101.35,0.0,0.0,,0.09
2019-11-29 23:00:00,23,79.0,101.41,0.0,0.0,Clear,0.09
2019-11-30 00:00:00,0,68.0,101.45,0.0,0.0,,0.09
2019-11-30 01:00:00,1,74.0,101.48,0.0,0.0,,0.09
2019-11-30 02:00:00,2,80.0,101.58,0.0,0.0,Clear,0.09
2019-11-30 03:00:00,3,81.0,101.65,0.0,0.0,,0.09
2019-11-30 04:00:00,4,85.0,101.71,0.0,0.0,,0.08
2019-11-30 05:00:00,5,86.0,101.77,0.0,0.0,Clear,0.09
2019-11-30 06:00:00,6,91.0,101.81,0.0,0.0,,0.09
2019-11-30 07:00:00,7,87.0,101.85,0.0,0.0,,0.09
2019-11-30 08:00:00,8,88.0,101.89,68.486,44.972,Mainly Clear,0.09
2019-11-30 09:00:00,9,84.0,101.93,182.468,156.782,,0.08
2019-11-30 10:00:00,10,85.0,101.94,230.346,203.714,,0.09
2019-11-30 11:00:00,11,73.0,101.98,275.588,248.045,Mainly Clear,0.09
2019-11-30 12:00:00,12,60.0,101.99,301.657,273.582,,0.09
2019-11-30 13:00:00,13,55.0,101.95,236.956,210.192,,0.09
2019-11-30 14:00:00,14,54.0,101.93,147.915,122.899,Mostly Cloudy,0.08
2019-11-30 15:00:00,15,58.0,101.91,0.0,0.0,,0.09
2019-11-30 16:00:00,16,53.0,101.89,0.0,0.0,,0.09
2019-11-30 17:00:00,17,63.0,101.86,0.0,0.0,Mostly Cloudy,0.09
2019-11-30 18:00:00,18,68.0,101.8,0.0,0.0,,0.09
2019-11-30 19:00:00,19,62.0,101.76,0.0,0.0,,0.09
2019-11-30 20:00:00,20,67.0,101.73,0.0,0.0,Mainly Clear,0.11
2019-11-30 21:00:00,21,77.0,101.69,0.0,0.0,,0.11
2019-11-30 22:00:00,22,77.0,101.6,0.0,0.0,,0.09
2019-11-30 23:00:00,23,75.0,101.55,0.0,0.0,Clear,0.09
2019-12-01 00:00:00,0,80.0,101.52,0.0,0.0,,0.09
2019-12-01 01:00:00,1,80.0,101.51,0.0,0.0,,0.09
2019-12-01 02:00:00,2,87.0,101.41,0.0,0.0,Mainly Clear,0.09
2019-12-01 03:00:00,3,81.0,101.45,0.0,0.0,,0.09
2019-12-01 04:00:00,4,87.0,101.39,0.0,0.0,,0.09
2019-12-01 05:00:00,5,84.0,101.34,0.0,0.0,Mostly Cloudy,0.08
2019-12-01 06:00:00,6,89.0,101.34,0.0,0.0,,0.09
2019-12-01 07:00:00,7,85.0,101.37,0.0,0.0,,0.09
2019-12-01 08:00:00,8,79.0,101.35,816.357,776.573,Cloudy,0.09
2019-12-01 09:00:00,9,78.0,101.4,1513.181,1453.949,,0.08
2019-12-01 10:00:00,10,84.0,101.46,2202.569,2120.025,,0.1
2019-12-01 11:00:00,11,73.0,101.48,2237.144,2153.324,Cloudy,0.09
2019-12-01 12:00:00,12,79.0,101.45,349.425,320.358,,0.09
2019-12-01 13:00:00,13,71.0,101.44,136.903,112.098,,0.09
2019-12-01 14:00:00,14,68.0,101.41,146.706,121.713,Cloudy,0.09
2019-12-01 15:00:00,15,67.0,101.41,0.0,0.0,,0.09
2019-12-01 16:00:00,16,68.0,101.44,0.0,0.0,,0.08
2019-12-01 17:00:00,17,67.0,101.49,0.0,0.0,Cloudy,0.09
2019-12-01 18:00:00,18,74.0,101.56,0.0,0.0,,0.08
2019-12-01 19:00:00,19,80.0,101.62,0.0,0.0,Rain,0.09
2019-12-01 20:00:00,20,84.0,101.65,0.0,0.0,Rain,0.09
2019-12-01 21:00:00,21,89.0,101.64,0.0,0.0,Rain,0.09
2019-12-01 22:00:00,22,90.0,101.72,0.0,0.0,Rain,0.09
2019-12-01 23:00:00,23,93.0,101.75,0.0,0.0,Rain,0.08
2019-12-02 00:00:00,0,94.0,101.81,0.0,0.0,Rain,0.09
2019-12-02 01:00:00,1,95.0,101.82,0.0,0.0,Rain,0.09
2019-12-02 02:00:00,2,96.0,101.87,0.0,0.0,Rain,0.09
2019-12-02 03:00:00,3,97.0,101.88,0.0,0.0,,0.09
2019-12-02 04:00:00,4,97.0,101.93,0.0,0.0,,0.08
2019-12-02 05:00:00,5,97.0,101.96,0.0,0.0,Cloudy,0.09
2019-12-02 06:00:00,6,97.0,101.97,0.0,0.0,,0.09
2019-12-02 07:00:00,7,97.0,101.96,0.0,0.0,Rain,0.09
2019-12-02 08:00:00,8,97.0,101.97,86.632,62.78,Drizzle,0.09
2019-12-02 09:00:00,9,97.0,102.0,161.055,135.785,Drizzle,0.11
2019-12-02 10:00:00,10,97.0,102.05,229.1,202.493,Drizzle,0.22
2019-12-02 11:00:00,11,97.0,102.1,207.069,180.9,Drizzle,0.48
2019-12-02 12:00:00,12,97.0,102.12,277.554,249.972,Rain,0.34
2019-12-02 13:00:00,13,97.0,102.12,394.461,364.441,Rain,0.31
2019-12-02 14:00:00,14,97.0,102.08,315.18,286.826,Rain,0.16
2019-12-02 15:00:00,15,96.0,102.05,0.0,0.0,Rain,0.09
2019-12-02 16:00:00,16,96.0,102.06,0.0,0.0,Rain,0.09
2019-12-02 17:00:00,17,96.0,102.06,0.0,0.0,Rain,0.08
2019-12-02 18:00:00,18,97.0,102.07,0.0,0.0,Rain,0.1
2019-12-02 19:00:00,19,97.0,102.07,0.0,0.0,Rain,0.09
2019-12-02 20:00:00,20,96.0,102.06,0.0,0.0,Rain,0.1
2019-12-02 21:00:00,21,96.0,102.06,0.0,0.0,Rain,0.1
2019-12-02 22:00:00,22,97.0,102.08,0.0,0.0,Rain,0.1
2019-12-02 23:00:00,23,97.0,102.06,0.0,0.0,Rain,0.08
2019-12-03 00:00:00,0,97.0,102.04,0.0,0.0,Rain,0.1
2019-12-03 01:00:00,1,97.0,102.02,0.0,0.0,Rain,0.1
2019-12-03 02:00:00,2,97.0,102.01,0.0,0.0,Cloudy,0.1
2019-12-03 03:00:00,3,97.0,101.96,0.0,0.0,,0.1
2019-12-03 04:00:00,4,97.0,101.98,0.0,0.0,,0.09
2019-12-03 05:00:00,5,97.0,101.92,0.0,0.0,Cloudy,0.08
2019-12-03 06:00:00,6,96.0,101.87,0.0,0.0,,0.1
2019-12-03 07:00:00,7,96.0,101.86,0.0,0.0,,0.09
2019-12-03 08:00:00,8,94.0,101.8,85.626,61.792,Cloudy,0.09
2019-12-03 09:00:00,9,91.0,101.83,185.902,160.148,,0.21
2019-12-03 10:00:00,10,91.0,101.84,228.476,201.882,,0.34
2019-12-03 11:00:00,11,90.0,101.87,400.167,370.025,Mostly Cloudy,0.33
2019-12-03 12:00:00,12,90.0,101.85,480.228,448.346,,0.09
2019-12-03 13:00:00,13,88.0,101.81,1899.916,1828.105,,0.09
2019-12-03 14:00:00,14,88.0,101.76,1666.614,1602.544,Cloudy,0.09
2019-12-03 15:00:00,15,88.0,101.69,0.0,0.0,,0.09
2019-12-03 16:00:00,16,89.0,101.65,0.0,0.0,,0.09
2019-12-03 17:00:00,17,90.0,101.6,0.0,0.0,Rain Showers,0.09
2019-12-03 18:00:00,18,91.0,101.53,0.0,0.0,,0.09
2019-12-03 19:00:00,19,89.0,101.47,0.0,0.0,,0.09
2019-12-03 20:00:00,20,89.0,101.42,0.0,0.0,Cloudy,0.09
2019-12-03 21:00:00,21,88.0,101.4,0.0,0.0,,0.09
2019-12-03 22:00:00,22,88.0,101.35,0.0,0.0,,0.08
2019-12-03 23:00:00,23,89.0,101.31,0.0,0.0,Rain,0.1
2019-12-04 00:00:00,0,90.0,101.27,0.0,0.0,Rain,0.09
2019-12-04 01:00:00,1,94.0,101.25,0.0,0.0,Rain,0.09
2019-12-04 02:00:00,2,95.0,101.21,0.0,0.0,Rain,0.09
2019-12-04 03:00:00,3,95.0,101.15,0.0,0.0,Rain,0.09
2019-12-04 04:00:00,4,95.0,101.12,0.0,0.0,Rain,
2019-12-04 05:00:00,5,93.0,101.09,0.0,0.0,Rain,0.09
2019-12-04 06:00:00,6,94.0,101.08,0.0,0.0,Rain,0.09
2019-12-04 07:00:00,7,95.0,101.08,0.0,0.0,Rain,0.09
2019-12-04 08:00:00,8,95.0,101.08,102.784,78.627,Cloudy,0.09
2019-12-04 09:00:00,9,96.0,101.07,163.386,138.071,,0.08
2019-12-04 10:00:00,10,95.0,101.19,154.328,129.188,,0.09
2019-12-04 11:00:00,11,94.0,101.23,188.878,163.066,Mostly Cloudy,0.09
2019-12-04 12:00:00,12,89.0,101.25,329.413,300.764,,0.09
2019-12-04 13:00:00,13,86.0,101.25,138.178,113.348,,0.09
2019-12-04 14:00:00,14,82.0,101.22,188.22,162.421,Mostly Cloudy,0.11
2019-12-04 15:00:00,15,87.0,101.23,0.0,0.0,,0.1
2019-12-04 16:00:00,16,84.0,101.23,0.0,0.0,,0.09
2019-12-04 17:00:00,17,87.0,101.28,0.0,0.0,Mainly Clear,0.09
2019-12-04 18:00:00,18,86.0,101.32,0.0,0.0,,0.09
2019-12-04 19:00:00,19,85.0,101.33,0.0,0.0,,0.09
2019-12-04 20:00:00,20,89.0,101.36,0.0,0.0,Cloudy,0.08
2019-12-04 21:00:00,21,90.0,101.41,0.0,0.0,,0.09
2019-12-04 22:00:00,22,86.0,101.41,0.0,0.0,,0.09
2019-12-04 23:00:00,23,88.0,101.46,0.0,0.0,Cloudy,0.09
2019-12-05 00:00:00,0,87.0,101.52,0.0,0.0,,0.09
2019-12-05 01:00:00,1,90.0,101.55,0.0,0.0,,0.09
2019-12-05 02:00:00,2,94.0,101.55,0.0,0.0,Mainly Clear,0.09
2019-12-05 03:00:00,3,89.0,101.59,0.0,0.0,,0.09
2019-12-05 04:00:00,4,92.0,101.59,0.0,0.0,,0.09
2019-12-05 05:00:00,5,96.0,101.6,0.0,0.0,Clear,0.09
2019-12-05 06:00:00,6,95.0,101.63,0.0,0.0,,0.09
2019-12-05 07:00:00,7,87.0,101.64,0.0,0.0,,0.08
2019-12-05 08:00:00,8,89.0,101.66,214.802,188.48,Mostly Cloudy,0.09
2019-12-05 09:00:00,9,94.0,101.69,613.362,578.465,,0.09
2019-12-05 10:00:00,10,92.0,101.73,721.133,683.685,,0.09
