date,hour,temperature,humidity,pressure,dc_output,ac_output,weather,energy_kWh
2019-03-06 00:00:00,0,1.1,54.0,101.02,0.0,0.0,,0.07
2019-03-06 01:00:00,1,-1.7,79.0,100.97,0.0,0.0,,0.03
2019-03-06 02:00:00,2,-0.4,64.0,100.89,0.0,0.0,Mainly Clear,0.08
2019-03-06 03:00:00,3,-3.3,68.0,100.85,0.0,0.0,,0.07
2019-03-06 04:00:00,4,-4.5,78.0,100.77,0.0,0.0,,0.07
2019-03-06 05:00:00,5,-3.3,83.0,100.69,0.0,0.0,Clear,0.18
2019-03-06 06:00:00,6,-3.2,75.0,100.63,0.0,0.0,,0.2
2019-03-06 07:00:00,7,-4.2,75.0,100.6,54.55,31.293,,0.15
2019-03-06 08:00:00,8,-3.1,82.0,100.52,644.758,609.128,Mostly Cloudy,0.13
2019-03-06 09:00:00,9,0.2,72.0,100.51,1331.881,1278.107,,0.14
2019-03-06 10:00:00,10,2.9,58.0,100.42,434.088,403.215,,0.14
2019-03-06 11:00:00,11,3.7,55.0,100.36,2013.818,1938.059,Mostly Cloudy,0.11
2019-03-06 12:00:00,12,3.8,61.0,100.29,1879.404,1808.292,,0.11
2019-03-06 13:00:00,13,3.9,60.0,100.28,2854.777,2746.451,,0.11
2019-03-06 14:00:00,14,4.2,63.0,100.26,1998.29,1923.076,Cloudy,0.12
2019-03-06 15:00:00,15,4.5,63.0,100.27,224.92,198.397,Rain,0.1
2019-03-06 16:00:00,16,2.7,86.0,100.28,557.133,523.528,Rain,0.18
2019-03-06 17:00:00,17,1.7,93.0,100.28,94.096,70.103,Rain,1.1
2019-03-06 18:00:00,18,1.6,94.0,100.28,0.0,0.0,Snow,0.54
2019-03-06 19:00:00,19,0.7,97.0,100.31,0.0,0.0,Snow,0.11
2019-03-06 20:00:00,20,0.9,98.0,100.35,0.0,0.0,Rain,0.1
2019-03-06 21:00:00,21,0.6,98.0,100.42,0.0,0.0,Snow,0.12
2019-03-06 22:00:00,22,0.9,98.0,100.49,0.0,0.0,Fog,0.1
2019-03-06 23:00:00,23,1.0,98.0,100.57,0.0,0.0,Cloudy,0.14
2019-03-07 00:00:00,0,1.5,96.0,100.62,0.0,0.0,,0.11
2019-03-07 01:00:00,1,1.4,95.0,100.68,0.0,0.0,,0.08
2019-03-07 02:00:00,2,1.0,96.0,100.75,0.0,0.0,Mainly Clear,0.1
2019-03-07 03:00:00,3,0.5,96.0,100.81,0.0,0.0,,0.14
2019-03-07 04:00:00,4,0.8,96.0,100.85,0.0,0.0,,0.11
2019-03-07 05:00:00,5,0.8,96.0,100.89,0.0,0.0,Mainly Clear,0.1
2019-03-07 06:00:00,6,0.5,96.0,100.95,0.0,0.0,,0.11
2019-03-07 07:00:00,7,0.8,95.0,101.0,45.568,22.477,,0.09
2019-03-07 08:00:00,8,0.7,96.0,101.04,487.879,455.828,Mostly Cloudy,0.11
2019-03-07 09:00:00,9,1.4,94.0,101.1,652.246,616.44,,0.09
2019-03-07 10:00:00,10,2.0,94.0,101.15,269.082,241.671,,0.09
2019-03-07 11:00:00,11,3.9,89.0,101.21,621.689,586.599,Mostly Cloudy,0.07
2019-03-07 12:00:00,12,3.7,89.0,101.28,1294.998,1242.3,,0.11
2019-03-07 13:00:00,13,4.4,88.0,101.33,426.606,395.895,,0.06
2019-03-07 14:00:00,14,4.1,89.0,101.37,867.198,826.135,Cloudy,0.04
2019-03-07 15:00:00,15,3.9,88.0,101.4,866.552,825.505,,0.06
2019-03-07 16:00:00,16,4.8,87.0,101.4,685.221,648.634,,0.08
2019-03-07 17:00:00,17,4.7,84.0,101.39,0.0,0.0,Cloudy,0.05
2019-03-07 18:00:00,18,4.0,86.0,101.39,0.0,0.0,Rain Showers,0.03
2019-03-07 19:00:00,19,3.9,87.0,101.41,0.0,0.0,,0.05
2019-03-07 20:00:00,20,3.0,91.0,101.45,0.0,0.0,Cloudy,0.09
2019-03-07 21:00:00,21,2.5,91.0,101.47,0.0,0.0,Rain Showers,0.06
2019-03-07 22:00:00,22,2.2,91.0,101.49,0.0,0.0,,0.08
2019-03-07 23:00:00,23,1.8,94.0,101.52,0.0,0.0,Cloudy,0.08
2019-03-08 00:00:00,0,1.4,94.0,101.5,0.0,0.0,,0.08
2019-03-08 01:00:00,1,1.6,93.0,101.49,0.0,0.0,,0.08
2019-03-08 02:00:00,2,1.7,92.0,101.49,0.0,0.0,Cloudy,0.07
2019-03-08 03:00:00,3,1.0,96.0,101.5,0.0,0.0,,0.09
2019-03-08 04:00:00,4,1.3,96.0,101.49,0.0,0.0,,0.07
2019-03-08 05:00:00,5,1.0,96.0,101.48,0.0,0.0,Cloudy,0.13
2019-03-08 06:00:00,6,0.9,97.0,101.5,0.0,0.0,,0.09
2019-03-08 07:00:00,7,1.2,96.0,101.52,118.337,93.886,,0.05
2019-03-08 08:00:00,8,1.4,94.0,101.54,251.651,224.593,Cloudy,0.08
2019-03-08 09:00:00,9,1.8,92.0,101.57,374.0,344.415,,0.08
2019-03-08 10:00:00,10,2.1,92.0,101.61,518.428,485.696,,0.09
2019-03-08 11:00:00,11,2.6,88.0,101.61,298.034,270.033,Cloudy,3.06
2019-03-08 12:00:00,12,4.1,79.0,101.63,314.964,286.614,,2.38
2019-03-08 13:00:00,13,4.0,73.0,101.6,486.057,454.046,,2.06
2019-03-08 14:00:00,14,5.9,71.0,101.55,483.122,451.176,Mostly Cloudy,1.32
2019-03-08 15:00:00,15,5.8,67.0,101.52,360.572,331.271,,0.1
2019-03-08 16:00:00,16,5.1,71.0,101.49,291.664,263.793,,0.06
2019-03-08 17:00:00,17,5.0,70.0,101.47,0.0,0.0,Mostly Cloudy,0.07
2019-03-08 18:00:00,18,4.5,70.0,101.44,0.0,0.0,,0.05
2019-03-08 19:00:00,19,1.8,77.0,101.45,0.0,0.0,,0.05
2019-03-08 20:00:00,20,1.1,80.0,101.46,0.0,0.0,Clear,0.09
2019-03-08 21:00:00,21,2.3,78.0,101.47,0.0,0.0,,0.06
2019-03-08 22:00:00,22,1.5,73.0,101.48,0.0,0.0,,0.08
2019-03-08 23:00:00,23,1.6,82.0,101.53,0.0,0.0,Clear,0.08
2019-03-09 00:00:00,0,1.1,86.0,101.55,0.0,0.0,,0.08
2019-03-09 01:00:00,1,-0.6,90.0,101.59,0.0,0.0,,0.05
2019-03-09 02:00:00,2,-0.3,85.0,101.61,0.0,0.0,Clear,0.05
2019-03-09 03:00:00,3,-0.3,91.0,101.65,0.0,0.0,,0.06
2019-03-09 04:00:00,4,-1.2,95.0,101.66,0.0,0.0,,0.09
2019-03-09 05:00:00,5,-1.8,93.0,101.68,0.0,0.0,Clear,0.09
2019-03-09 06:00:00,6,-2.2,92.0,101.71,0.0,0.0,,0.07
